provider,url,nb_stops,nb_routes,nb_trips,error
"Rurtalbahn GmbH, ABELLIO Rail, VIAS GmbH, Aachener Straßenbahn und Energieversorgungs-AG, Rurtalbus GmbH, WestVerkehr GmbH, Staatsbahnen, National Express, ASEAG Netliner",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/de-nordrhein-westfalen-rurtalbahn-gmbh-gtfs-1224.zip?alt=media,3169.0,380.0,25637.0,
MAT mobilités,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-unknown-mat-mobilites-gtfs-2139.zip?alt=media,464.0,18.0,869.0,
"Aleop Renfort LR 85, Aléop en Loire-Atlantique, Aléop en Maine-et-Loire, Aléop en Mayenne, Aléop en Sarthe, Aléop en Vendée, Aléop en Vendée et Loire-Atlantique, Aléop express Régionale, Aléop TER, projet Aléop en Loire-Atlantique, Yeu Continent",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-pays-de-la-loire-aleop-renfort-lr-85-gtfs-1096.zip?alt=media,9829.0,143.0,7740.0,
Réseau Mistral,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-provence-alpes-cote-dazur-reseau-mistral-gtfs-1820.zip?alt=media,1958.0,100.0,25661.0,
Régie des Transports Métropolitains (RTM),https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-provence-alpes-cote-dazur-regie-des-transports-metropolitains-rtm-gtfs-841.zip?alt=media,2681.0,130.0,36758.0,
Autolinee Varesine,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-lombardia-autolinee-varesine-gtfs-1059.zip?alt=media,1766.0,42.0,3755.0,
Transports en Commun Lyonnais (TCL),https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-rhone-transports-en-commun-lyonnais-tcl-gtfs-2006.zip?alt=media,6752.0,467.0,118262.0,
Cars Région Auvergne-Rhône-Alpes (Transisère),https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-auvergne-rhone-alpes-cars-region-auvergne-rhone-alpes-transisere-gtfs-985.zip?alt=media,10165.0,445.0,3639.0,
Bus Regione Piemonte,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-piemonte-bus-regione-piemonte-gtfs-1138.zip?alt=media,5390.0,596.0,16006.0,
Trenitalia Piemonte,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-piemonte-trenitalia-piemonte-gtfs-1170.zip?alt=media,244.0,145.0,1020.0,
Autolinee Scoppio,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-puglia-autolinee-scoppio-gtfs-848.zip?alt=media,6.0,2.0,36.0,
Comune di Gioia del Colle,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-puglia-comune-di-gioia-del-colle-gtfs-849.zip?alt=media,49.0,3.0,28.0,
bodo Verkehrsverbund,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/de-baden-wurttemberg-bodo-verkehrsverbund-gtfs-769.zip?alt=media,6023.0,277.0,15490.0,
Mobilità e Trasporti Molfetta,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-puglia-mobilita-e-trasporti-molfetta-gtfs-1147.zip?alt=media,135.0,5.0,64.0,
Società Gestione Multipla (SGM),https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-puglia-societa-gestione-multipla-sgm-gtfs-1066.zip?alt=media,300.0,42.0,1583.0,
Società Trasporti Provinciale S.p.A.,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-puglia-societa-trasporti-provinciale-spa-gtfs-847.zip?alt=media,21.0,4.0,35.0,
ASPO Olbia,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-regione-autonoma-della-sardegna-aspo-olbia-gtfs-2008.zip?alt=media,424.0,15.0,395.0,
Collegamenti marittimi Grimaldi,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-regione-autonoma-della-sardegna-collegamenti-marittimi-grimaldi-gtfs-1192.zip?alt=media,36.0,14.0,30.0,
Collegamenti marittimi Moby,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-regione-autonoma-della-sardegna-collegamenti-marittimi-moby-gtfs-1048.zip?alt=media,36.0,24.0,42.0,
Collegamenti marittimi Tirrenia,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-regione-autonoma-della-sardegna-collegamenti-marittimi-tirrenia-gtfs-1051.zip?alt=media,36.0,34.0,13.0,
Collegamenti marittimi Sardinia Ferries,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-regione-autonoma-della-sardegna-collegamenti-marittimi-sardinia-ferries-gtfs-1050.zip?alt=media,23.0,52.0,713.0,
TRENITALIA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-regione-autonoma-della-sardegna-trenitalia-gtfs-1052.zip?alt=media,41.0,2.0,528.0,
Trentino Trasporti Esercizio (TTE),https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-trentino-alto-adige-trentino-trasporti-esercizio-tte-gtfs-1031.zip?alt=media,2848.0,120.0,3108.0,
Trentino Trasporti SpA (TT),https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-trentino-alto-adige-trentino-trasporti-spa-tt-gtfs-978.zip?alt=media,1109.0,43.0,3589.0,
"Régime Général des Transports Routiers, Ville de Luxembourg - Service Autobus, Chemins de Fer Luxembourgeois, Syndicat des Tramways Intercommunaux dans le Canton d'Esch, Luxtram, Société Nationale des Chemins de Fer Luxembourgeois",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/lu-unknown-regime-general-des-transports-routiers-gtfs-1108.zip?alt=media,2791.0,570.0,23827.0,
"Trenitalia, Contram Mobilita s.c.p.a., Trasfer Soc. Cons. a.r.l., Adriabus spa, Soc. Consortile A.T.M.A., Start Spa",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-marche-trenitalia-gtfs-1319.zip?alt=media,12002.0,1575.0,14899.0,
Hofmann Omnibusverkehr GmbH,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/de-unknown-hofmann-omnibusverkehr-gmbh-gtfs-1082.zip?alt=media,3412.0,169.0,8456.0,
Agenzia Mobilità Ambiente Territorio,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-lombardia-agenzia-mobilita-ambiente-territorio-gtfs-1231.zip?alt=media,4967.0,161.0,161660.0,
Regione Piemonte,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/it-piemonte-regione-piemonte-gtfs-1154.zip?alt=media,5390.0,596.0,16006.0,
Metro do Porto,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/pt-porto-metro-do-porto-gtfs-2357.zip?alt=media,85.0,7.0,2939.0,
Sociedade de Transportes Colectivos do Porto,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/pt-porto-sociedade-de-transportes-colectivos-do-porto-gtfs-2148.zip?alt=media,2504.0,73.0,12950.0,
FlixBus,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/de-unknown-flixbus-gtfs-853.zip?alt=media,2215.0,1116.0,30652.0,
Régie Autonome des Transports Parisiens,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-ile-de-france-regie-autonome-des-transports-parisiens-gtfs-1291.zip?alt=media,25613.0,1007.0,445465.0,
Nouvelle-Aquitaine Mobilités,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-nouvelle-aquitaine-aggregate-gtfs-2386.zip?alt=media,42390.0,1591.0,148219.0,
STIF,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-ile-de-france-stif-gtfs-1283.zip?alt=media,63933.0,1886.0,534530.0,
Ile-de-France Mobilité,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/fr-paris-ile-de-france-mobilite-gtfs-1026.zip?alt=media,53420.0,1998.0,458104.0,
Rursee-Schifffahrt KG,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/de-unknown-rursee-schifffahrt-kg-gtfs-784.zip?alt=media,541592.0,29084.0,2169492.0,
